Distance_(mm),Gray_Value
4.6685,16.3893
4.6746,16.4090
4.6807,16.3995
4.6867,16.4149
4.6928,16.5398
4.6989,16.5626
4.7050,16.4741
4.7111,16.3901
4.7171,16.4114
4.7232,16.5280
4.7293,16.5428
4.7354,16.3538
4.7414,16.0519
4.7475,15.7965
4.7536,15.6497
4.7597,15.5866
4.7658,15.5805
4.7718,15.5393
4.7779,15.5735
4.7840,15.6815
4.7901,15.7904
4.7962,15.7911
4.8022,15.7316
4.8083,15.6065
4.8144,15.6202
4.8205,15.7005
4.8265,15.7502
4.8326,15.7433
4.8387,15.7352
4.8448,15.7827
4.8509,15.9045
4.8569,15.9629
4.8630,15.9188
4.8691,15.8479
4.8752,15.7311
4.8813,15.5563
4.8873,15.5364
4.8934,15.7474
4.8995,16.1273
4.9056,16.3442
4.9116,16.3985
4.9177,16.4256
4.9238,16.4156
4.9299,16.3269
4.9360,16.2849
4.9420,16.1747
4.9481,16.2037
4.9542,16.4128
4.9603,16.6588
4.9664,16.7823
4.9724,16.8547
4.9785,16.9427
4.9846,17.0526
4.9907,17.1337
4.9968,17.2322
5.0028,17.3630
5.0089,17.4746
5.0150,17.5264
5.0211,17.6098
5.0271,17.7206
5.0332,17.8537
5.0393,18.1317
5.0454,18.3485
5.0515,18.5442
5.0575,18.7475
5.0636,18.8961
5.0697,18.9557
5.0758,18.9987
5.0819,18.8578
5.0879,18.6896
5.0940,18.6300
5.1001,18.5983
5.1062,18.5976
5.1122,18.5509
5.1183,18.4914
5.1244,18.3344
5.1305,18.2314
5.1366,18.1677
5.1426,18.1249
5.1487,18.0554
5.1548,17.9516
5.1609,17.8264
5.1670,17.8171
5.1730,17.8918
5.1791,17.9705
5.1852,18.0251
5.1913,18.0245
5.1974,17.9322
5.2034,17.8801
5.2095,17.9362
5.2156,18.1428
5.2217,18.3667
5.2277,18.5015
5.2338,18.6308
5.2399,18.7389
5.2460,18.9069
5.2521,19.1986
5.2581,19.5032
5.2642,19.7820
5.2703,19.8928
5.2764,19.6787
5.2825,19.2516
5.2885,18.9758
5.2946,18.8809
5.3007,18.8757
5.3068,18.9142
5.3128,18.9918
5.3189,19.1085
5.3250,19.2460
5.3311,19.2789
5.3372,19.3157
5.3432,19.3094
5.3493,19.3257
5.3554,19.3755
5.3615,19.4629
5.3676,19.4987
5.3736,19.4744
5.3797,19.4047
5.3858,19.3460
5.3919,19.2666
5.3980,19.1703
5.4040,19.1726
5.4101,19.1721
5.4162,19.1929
5.4223,19.1540
5.4283,19.0683
5.4344,18.9787
5.4405,18.9623
5.4466,18.9946
5.4527,19.0147
5.4587,18.9529
5.4648,18.9920
5.4709,19.1044
5.4770,19.2402
5.4831,19.3449
5.4891,19.4013
5.4952,19.3988
5.5013,19.2596
5.5074,19.2349
5.5134,19.2779
5.5195,19.3272
5.5256,19.4137
5.5317,19.4484
5.5378,19.4486
5.5438,19.5708
5.5499,19.8464
5.5560,20.1039
5.5621,20.0678
5.5682,19.8032
5.5742,19.4669
5.5803,19.0798
5.5864,18.8232
5.5925,18.6492
5.5986,18.4977
5.6046,18.3427
5.6107,18.2968
5.6168,18.3384
5.6229,18.3512
5.6289,18.4691
5.6350,18.5715
5.6411,18.5719
5.6472,18.5332
5.6533,18.4929
5.6593,18.4065
5.6654,18.4070
5.6715,18.4637
5.6776,18.6693
5.6837,18.8813
5.6897,19.0072
5.6958,18.9185
5.7019,18.8050
5.7080,18.6639
5.7140,18.5660
5.7201,18.5416
5.7262,18.5350
5.7323,18.5451
5.7384,18.5612
5.7444,18.6289
5.7505,18.7004
5.7566,18.7423
5.7627,18.8491
5.7688,18.8864
5.7748,18.8311
5.7809,18.6831
5.7870,18.5560
5.7931,18.4952
5.7992,18.3622
5.8052,18.3005
5.8113,18.3056
5.8174,18.3619
5.8235,18.4204
5.8295,18.4246
5.8356,18.4142
5.8417,18.3918
5.8478,18.2272
5.8539,18.1317
5.8599,18.0960
5.8660,18.1704
5.8721,18.1831
5.8782,18.1160
5.8843,18.0288
5.8903,17.9506
5.8964,17.9390
5.9025,17.9540
5.9086,17.9816
5.9146,17.9450
5.9207,17.8539
5.9268,17.7756
5.9329,17.7593
5.9390,17.7342
5.9450,17.6888
5.9511,17.6656
5.9572,17.6409
5.9633,17.6266
5.9694,17.5879
5.9754,17.5676
5.9815,17.5335
5.9876,17.4799
5.9937,17.4415
5.9998,17.4528
6.0058,17.4721
6.0119,17.4935
6.0180,17.4743
6.0241,17.4770
6.0301,17.4285
6.0362,17.4205
6.0423,17.4057
6.0484,17.4249
6.0545,17.5064
6.0605,17.6612
6.0666,17.7927
6.0727,17.8536
6.0788,17.9350
6.0849,17.9318
6.0909,17.8856
6.0970,17.9609
6.1031,18.0262
6.1092,17.9070
